Mês,Real,Previsto,Erro,Erro %
2024-09,"449.155.899,50","482.839.650,00","-33.683.750,50","-7,50"
2024-10,"475.064.133,00","514.962.697,53","-39.898.564,53","-8,40"
2024-11,"617.372.700,30","621.377.751,49","-4.005.051,19","-0,65"
2024-12,"691.537.199,00","658.902.999,51","32.634.199,49","4,72"
2025-01,"611.701.113,00","617.376.013,37","-5.674.900,37","-0,93"
2025-02,"864.310.534,10","813.538.756,70","50.771.777,40","5,87"
2025-03,"560.402.239,10","539.679.772,59","20.722.466,51","3,70"
2025-04,"563.623.573,30","577.481.602,62","-13.858.029,32","-2,46"
2025-05,"724.452.759,90","636.593.301,71","87.859.458,19","12,13"
2025-06,"764.875.067,10","629.290.575,54","135.584.491,56","17,73"
2025-07,"457.630.401,00","492.469.998,61","-34.839.597,61","-7,61"
2025-08,"614.085.157,70","578.703.101,83","35.382.055,87","5,76"
