Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"539.998.738,12","528.645.942,37","551.312.798,29"
2025-10,"573.761.829,58","555.444.892,39","652.950.268,54"
2025-11,"702.434.682,91","687.352.964,32","789.839.738,88"
2025-12,"754.877.344,88","748.823.779,80","794.277.464,44"
2026-01,"695.515.166,60","690.599.625,90","795.603.274,55"
2026-02,"922.748.705,19","930.922.695,66","795.924.583,51"
2026-03,"625.384.879,24","632.414.309,51","740.764.153,24"
2026-04,"648.712.618,46","648.483.298,61","790.840.933,82"
2026-05,"756.055.391,26","771.958.256,09","795.869.947,38"
2026-06,"765.564.796,98","805.762.798,66","795.766.115,73"
2026-07,"534.303.280,52","549.181.961,20","616.523.939,64"
2026-08,"669.549.603,03","684.688.297,72","783.824.575,71"
