Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"187.676.840,61","187.676.840,61","187.676.840,61"
2025-10,"187.306.188,59","187.306.188,59","187.306.188,59"
2025-11,"187.449.347,85","187.449.347,85","187.449.347,85"
2025-12,"187.787.536,79","187.787.536,79","187.787.536,79"
2026-01,"187.664.605,93","187.664.605,93","187.664.605,93"
2026-02,"187.554.008,52","187.554.008,52","187.554.008,52"
2026-03,"188.844.422,70","188.844.422,70","188.844.422,70"
2026-04,"189.527.349,62","189.527.349,62","189.527.349,62"
2026-05,"190.047.811,54","190.047.811,54","190.047.811,54"
2026-06,"190.479.896,54","190.479.896,54","190.479.896,54"
2026-07,"190.828.455,04","190.828.455,04","190.828.455,04"
2026-08,"190.650.442,75","190.650.442,75","190.650.442,75"
