Mês,Real,Previsto,Erro,Erro %
2024-09,"178.685.727,60","165.028.348,45","13.657.379,15","7,64"
2024-10,"193.770.720,80","164.926.148,26","28.844.572,54","14,89"
2024-11,"203.486.732,50","164.822.401,81","38.664.330,69","19,00"
2024-12,"200.204.454,70","164.774.179,81","35.430.274,89","17,70"
2025-01,"179.980.869,10","164.616.816,35","15.364.052,75","8,54"
2025-02,"162.154.798,90","164.529.379,04","-2.374.580,14","-1,46"
2025-03,"167.305.127,80","164.531.297,76","2.773.830,04","1,66"
2025-04,"171.486.373,10","164.486.010,27","7.000.362,83","4,08"
2025-05,"178.153.575,80","164.446.648,25","13.706.927,55","7,69"
2025-06,"185.853.159,90","164.316.031,22","21.537.128,68","11,59"
2025-07,"198.244.950,10","164.251.866,88","33.993.083,22","17,15"
2025-08,"192.364.077,80","164.150.640,17","28.213.437,63","14,67"
