Mês,Real,Previsto,Erro,Erro %
2024-09,"11.924.541,08","15.648.548,01","-3.724.006,93","-31,23"
2024-10,"10.336.852,01","13.815.763,81","-3.478.911,80","-33,66"
2024-11,"6.690.171,31","10.621.864,30","-3.931.692,99","-58,77"
2024-12,"5.870.179,66","10.937.409,82","-5.067.230,16","-86,32"
2025-01,"13.406.473,22","14.425.102,85","-1.018.629,63","-7,60"
2025-02,"15.061.431,07","14.889.177,73","172.253,34","1,14"
2025-03,"15.927.363,32","12.906.095,22","3.021.268,10","18,97"
2025-04,"17.097.526,78","8.587.068,24","8.510.458,54","49,78"
2025-05,"15.444.552,15","8.801.873,67","6.642.678,48","43,01"
2025-06,"13.309.059,93","12.618.517,67","690.542,26","5,19"
2025-07,"17.933.448,42","15.247.951,33","2.685.497,09","14,97"
2025-08,"14.467.818,23","15.092.029,56","-624.211,33","-4,31"
