Mês,Real,Previsto,Erro,Erro %
2024-09,"62.161.029,01","52.681.362,18","9.479.666,83","15,25"
2024-10,"62.291.226,25","61.488.081,08","803.145,17","1,29"
2024-11,"68.979.282,04","64.688.873,91","4.290.408,13","6,22"
2024-12,"127.463.558,00","69.743.339,07","57.720.218,93","45,28"
2025-01,"45.695.309,64","53.707.550,75","-8.012.241,11","-17,53"
2025-02,"53.781.143,94","58.689.159,01","-4.908.015,07","-9,13"
2025-03,"58.668.170,81","56.505.744,86","2.162.425,95","3,69"
2025-04,"59.560.220,89","57.726.699,45","1.833.521,44","3,08"
2025-05,"62.636.069,61","59.053.098,05","3.582.971,56","5,72"
2025-06,"62.973.111,91","59.478.562,69","3.494.549,22","5,55"
2025-07,"72.539.087,73","58.469.955,35","14.069.132,38","19,40"
2025-08,"58.783.256,03","59.299.786,27","-516.530,24","-0,88"
