Mês,Real,Previsto,Erro,Erro %
2024-09,"2.092.850,41","1.155.701,00","937.149,41","44,78"
2024-10,"1.379.275,56","1.155.701,00","223.574,56","16,21"
2024-11,"969.879,49","1.155.701,00","-185.821,51","-19,16"
2024-12,"2.703.559,04","1.155.701,00","1.547.858,04","57,25"
2025-01,"660.847,10","1.155.701,00","-494.853,90","-74,88"
2025-02,"781.928,79","1.155.701,00","-373.772,21","-47,80"
2025-03,"724.812,81","1.155.701,00","-430.888,19","-59,45"
2025-04,"622.557,38","1.155.701,00","-533.143,62","-85,64"
2025-05,"715.639,04","1.155.701,00","-440.061,96","-61,49"
2025-06,"1.079.785,93","1.155.701,00","-75.915,07","-7,03"
2025-07,"639.429,70","1.155.701,00","-516.271,30","-80,74"
2025-08,"510.263,99","1.155.701,00","-645.437,01","-126,49"
