Mês,Real,Previsto,Erro,Erro %
2024-09,"2.092.850,41","1.113.428,53","979.421,88","46,80"
2024-10,"1.379.275,56","1.046.229,40","333.046,16","24,15"
2024-11,"969.879,49","1.238.588,41","-268.708,92","-27,71"
2024-12,"2.703.559,04","1.161.610,00","1.541.949,04","57,03"
2025-01,"660.847,10","1.046.854,09","-386.006,99","-58,41"
2025-02,"781.928,79","1.027.465,55","-245.536,76","-31,40"
2025-03,"724.812,81","1.388.184,28","-663.371,47","-91,52"
2025-04,"622.557,38","1.206.204,15","-583.646,77","-93,75"
2025-05,"715.639,04","1.864.431,15","-1.148.792,11","-160,53"
2025-06,"1.079.785,93","1.120.646,33","-40.860,40","-3,78"
2025-07,"639.429,70","1.512.516,47","-873.086,77","-136,54"
2025-08,"510.263,99","1.193.297,56","-683.033,57","-133,86"
