Mês,Real,Previsto,Erro,Erro %
2024-09,"944.188.806,20","1.001.462.362,98","-57.273.556,78","-6,07"
2024-10,"952.432.599,80","1.007.468.980,02","-55.036.380,22","-5,78"
2024-11,"1.144.406.271,00","1.101.546.352,41","42.859.918,59","3,75"
2024-12,"1.352.427.848,00","1.291.998.781,98","60.429.066,02","4,47"
2025-01,"1.094.229.003,00","1.093.620.611,01","608.391,99","0,06"
2025-02,"1.370.572.574,00","1.285.723.275,90","84.849.298,10","6,19"
2025-03,"1.035.261.032,00","1.068.363.372,79","-33.102.340,79","-3,20"
2025-04,"1.039.104.471,00","1.094.989.669,09","-55.885.198,09","-5,38"
2025-05,"1.370.951.335,00","1.189.069.969,45","181.881.365,55","13,27"
2025-06,"1.315.172.645,00","1.194.272.321,77","120.900.323,23","9,19"
2025-07,"1.004.115.599,00","1.050.809.402,55","-46.693.803,55","-4,65"
2025-08,"1.150.906.380,00","1.139.781.045,92","11.125.334,08","0,97"
