Mês,Real,Previsto,Erro,Erro %
2024-09,"944.188.806,20","993.037.479,20","-48.848.673,00","-5,17"
2024-10,"952.432.599,80","1.093.815.768,90","-141.383.169,10","-14,84"
2024-11,"1.144.406.271,00","1.169.295.712,88","-24.889.441,88","-2,17"
2024-12,"1.352.427.848,00","1.176.753.552,63","175.674.295,37","12,99"
2025-01,"1.094.229.003,00","1.167.189.512,93","-72.960.509,93","-6,67"
2025-02,"1.370.572.574,00","1.174.133.530,04","196.439.043,96","14,33"
2025-03,"1.035.261.032,00","1.118.807.309,15","-83.546.277,15","-8,07"
2025-04,"1.039.104.471,00","1.156.849.590,32","-117.745.119,32","-11,33"
2025-05,"1.370.951.335,00","1.170.962.728,36","199.988.606,64","14,59"
2025-06,"1.315.172.645,00","1.171.736.145,56","143.436.499,44","10,91"
2025-07,"1.004.115.599,00","1.113.302.738,01","-109.187.139,01","-10,87"
2025-08,"1.150.906.380,00","1.159.806.137,29","-8.899.757,29","-0,77"
