Mês,Real,Previsto,Erro,Erro %
2024-09,"750.288.524,80","785.089.452,00","-34.800.927,20","-4,64"
2024-10,"738.557.754,90","787.117.325,43","-48.559.570,53","-6,57"
2024-11,"902.624.419,40","860.584.349,75","42.040.069,65","4,66"
2024-12,"1.067.459.662,00","1.002.651.366,32","64.808.295,68","6,07"
2025-01,"864.586.386,30","852.891.191,54","11.695.194,76","1,35"
2025-02,"1.095.859.663,00","1.003.553.941,50","92.305.721,50","8,42"
2025-03,"806.905.226,60","835.706.369,05","-28.801.142,45","-3,57"
2025-04,"801.688.209,10","859.421.825,47","-57.733.616,37","-7,20"
2025-05,"1.117.028.182,00","935.602.262,15","181.425.919,85","16,24"
2025-06,"1.034.022.667,00","939.003.929,11","95.018.737,89","9,19"
2025-07,"785.840.245,40","823.400.387,45","-37.560.142,05","-4,78"
2025-08,"916.352.271,40","894.371.851,37","21.980.420,03","2,40"
