Mês,Real,Previsto,Erro,Erro %
2024-09,"536.024.752,40","577.927.017,62","-41.902.265,22","-7,82"
2024-10,"568.194.483,10","617.585.847,28","-49.391.364,18","-8,69"
2024-11,"735.289.484,50","747.677.258,90","-12.387.774,40","-1,68"
2024-12,"824.096.771,60","791.446.003,24","32.650.768,36","3,96"
2025-01,"721.378.547,50","756.400.886,03","-35.022.338,53","-4,85"
2025-02,"987.992.060,20","962.215.094,01","25.776.966,19","2,61"
2025-03,"646.599.621,80","636.645.285,60","9.954.336,20","1,54"
2025-04,"654.370.785,20","684.052.794,31","-29.682.009,11","-4,54"
2025-05,"837.257.523,10","757.623.296,11","79.634.226,99","9,51"
2025-06,"869.522.281,90","748.146.861,66","121.375.420,24","13,96"
2025-07,"528.299.286,10","575.840.030,99","-47.540.744,89","-9,00"
2025-08,"701.750.791,40","686.705.680,09","15.045.111,31","2,14"
