Mês,Real,Previsto,Erro,Erro %
2024-09,"536.024.752,40","630.399.779,22","-94.375.026,82","-17,61"
2024-10,"568.194.483,10","656.546.448,81","-88.351.965,71","-15,55"
2024-11,"735.289.484,50","686.599.019,41","48.690.465,09","6,62"
2024-12,"824.096.771,60","690.280.489,77","133.816.281,83","16,24"
2025-01,"721.378.547,50","689.729.571,71","31.648.975,79","4,39"
2025-02,"987.992.060,20","693.366.817,85","294.625.242,35","29,82"
2025-03,"646.599.621,80","682.311.356,33","-35.711.734,53","-5,52"
2025-04,"654.370.785,20","686.368.676,50","-31.997.891,30","-4,89"
2025-05,"837.257.523,10","691.306.038,54","145.951.484,56","17,43"
2025-06,"869.522.281,90","688.486.727,41","181.035.554,49","20,82"
2025-07,"528.299.286,10","668.975.004,07","-140.675.717,97","-26,63"
2025-08,"701.750.791,40","689.109.478,98","12.641.312,42","1,80"
