Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"712.518.722,62","708.292.269,63","754.883.050,94"
2025-10,"734.210.297,20","728.782.884,52","754.916.261,15"
2025-11,"758.214.074,29","752.512.872,03","754.900.838,58"
2025-12,"801.318.723,27","793.713.068,42","754.866.316,65"
2026-01,"767.614.118,12","773.969.209,47","754.827.640,96"
2026-02,"748.692.872,56","768.329.553,39","754.800.730,95"
2026-03,"696.317.201,83","734.513.624,44","754.915.307,18"
2026-04,"728.282.008,63","752.665.398,53","754.911.690,03"
2026-05,"711.330.082,39","741.335.899,92","754.914.452,58"
2026-06,"716.873.167,27","743.646.204,60","754.920.077,05"
2026-07,"711.524.425,01","740.268.591,90","754.923.078,09"
2026-08,"726.831.610,62","744.424.649,92","754.926.774,74"
