Mês,Real,Previsto,Erro,Erro %
2024-09,"665.618.791,40","731.424.313,12","-65.805.521,72","-9,89"
2024-10,"690.841.090,10","732.000.882,29","-41.159.792,19","-5,96"
2024-11,"772.337.263,30","732.641.702,23","39.695.561,07","5,14"
2024-12,"808.873.187,40","733.227.377,19","75.645.810,21","9,35"
2025-01,"784.862.601,50","732.396.415,02","52.466.186,48","6,68"
2025-02,"876.154.267,40","731.963.105,04","144.191.162,36","16,46"
2025-03,"700.258.269,50","732.149.126,11","-31.890.856,61","-4,55"
2025-04,"712.955.352,60","732.426.852,69","-19.471.500,09","-2,73"
2025-05,"711.973.696,00","732.100.712,36","-20.127.016,36","-2,83"
2025-06,"696.265.761,40","732.087.073,30","-35.821.311,90","-5,14"
2025-07,"713.267.174,80","732.058.637,33","-18.791.462,53","-2,63"
2025-08,"696.458.045,60","732.347.608,78","-35.889.563,18","-5,15"
