Mês,Real,Previsto,Erro,Erro %
2024-09,"50.257.114,25","45.949.962,01","4.307.152,24","8,57"
2024-10,"42.679.931,46","41.220.587,86","1.459.343,60","3,42"
2024-11,"28.508.860,26","30.609.486,52","-2.100.626,26","-7,37"
2024-12,"24.398.702,36","25.974.411,17","-1.575.708,81","-6,46"
2025-01,"107.185.281,40","101.792.240,56","5.393.040,84","5,03"
2025-02,"50.717.741,69","46.531.854,27","4.185.887,42","8,25"
2025-03,"62.032.155,09","55.849.176,65","6.182.978,44","9,97"
2025-04,"69.983.107,45","68.066.753,26","1.916.354,19","2,74"
2025-05,"81.911.757,32","80.367.528,03","1.544.229,29","1,89"
2025-06,"89.954.686,42","79.456.682,65","10.498.003,77","11,67"
2025-07,"84.967.257,25","82.225.403,24","2.741.854,01","3,23"
2025-08,"60.618.511,62","65.644.146,26","-5.025.634,64","-8,29"
