Mês,Real,Previsto,Erro,Erro %
2024-09,"87.380.261,18","91.030.660,41","-3.650.399,23","-4,18"
2024-10,"88.207.197,23","89.239.142,51","-1.031.945,28","-1,17"
2024-11,"53.648.792,01","89.303.653,75","-35.654.861,74","-66,46"
2024-12,"86.463.439,39","137.724.087,65","-51.260.648,26","-59,29"
2025-01,"87.444.568,19","78.812.971,04","8.631.597,15","9,87"
2025-02,"196.635.216,90","100.389.841,97","96.245.374,93","48,95"
2025-03,"113.870.255,00","94.680.859,25","19.189.395,75","16,85"
2025-04,"124.817.236,00","96.907.360,22","27.909.875,78","22,36"
2025-05,"91.568.438,19","102.806.771,53","-11.238.333,34","-12,27"
2025-06,"103.416.099,50","98.631.673,36","4.784.426,14","4,63"
2025-07,"112.070.051,20","100.823.475,99","11.246.575,21","10,04"
2025-08,"105.850.374,10","95.831.610,44","10.018.763,66","9,47"
