Mês,Real,Previsto,Erro,Erro %
2024-09,"7.231.808,07","6.574.606,33","657.201,74","9,09"
2024-10,"8.024.690,25","6.574.085,04","1.450.605,21","18,08"
2024-11,"4.286.104,64","6.573.391,84","-2.287.287,20","-53,37"
2024-12,"8.035.241,70","6.579.679,38","1.455.562,32","18,11"
2025-01,"9.781.098,42","6.582.882,45","3.198.215,97","32,70"
2025-02,"7.267.840,98","6.586.511,57","681.329,41","9,37"
2025-03,"4.832.706,45","6.587.201,38","-1.754.494,93","-36,30"
2025-04,"4.803.475,55","6.585.195,71","-1.781.720,16","-37,09"
2025-05,"4.777.379,05","6.583.417,58","-1.806.038,53","-37,80"
2025-06,"6.561.282,84","6.581.700,46","-20.417,62","-0,31"
2025-07,"10.070.364,66","6.583.103,68","3.487.260,98","34,63"
2025-08,"4.880.255,78","6.583.101,69","-1.702.845,91","-34,89"
