Mês,Real,Previsto,Erro,Erro %
2024-09,"1.638.916.853,00","1.886.250.192,31","-247.333.339,31","-15,09"
2024-10,"1.741.296.420,00","1.928.830.907,90","-187.534.487,90","-10,77"
2024-11,"1.935.636.224,00","2.049.480.993,98","-113.844.769,98","-5,88"
2024-12,"2.269.386.976,00","2.178.447.871,03","90.939.104,97","4,01"
2025-01,"2.132.553.817,00","2.133.320.442,50","-766.625,50","-0,04"
2025-02,"2.618.664.154,00","2.179.831.864,55","438.832.289,45","16,76"
2025-03,"1.891.498.462,00","2.191.367.088,06","-299.868.626,06","-15,85"
2025-04,"1.964.905.774,00","2.076.566.514,17","-111.660.740,17","-5,68"
2025-05,"2.091.549.105,00","2.129.868.604,19","-38.319.499,19","-1,83"
2025-06,"2.205.767.313,00","2.162.496.078,74","43.271.234,26","1,96"
2025-07,"1.833.809.450,00","2.136.876.178,92","-303.066.728,92","-16,53"
2025-08,"1.915.735.135,00","2.166.193.143,90","-250.458.008,90","-13,07"
