Mês,Real,Previsto,Erro,Erro %
2024-09,"1.638.916.853,00","1.822.402.655,10","-183.485.802,10","-11,20"
2024-10,"1.741.296.420,00","1.864.814.468,78","-123.518.048,78","-7,09"
2024-11,"1.935.636.224,00","1.997.996.060,88","-62.359.836,88","-3,22"
2024-12,"2.269.386.976,00","2.293.818.602,67","-24.431.626,67","-1,08"
2025-01,"2.132.553.817,00","2.017.722.689,95","114.831.127,05","5,38"
2025-02,"2.618.664.154,00","2.157.644.045,72","461.020.108,28","17,61"
2025-03,"1.891.498.462,00","1.951.111.425,47","-59.612.963,47","-3,15"
2025-04,"1.964.905.774,00","2.024.416.673,35","-59.510.899,35","-3,03"
2025-05,"2.091.549.105,00","2.098.757.433,70","-7.208.328,70","-0,34"
2025-06,"2.205.767.313,00","2.084.692.703,31","121.074.609,69","5,49"
2025-07,"1.833.809.450,00","2.016.752.250,13","-182.942.800,13","-9,98"
2025-08,"1.915.735.135,00","2.057.685.211,53","-141.950.076,53","-7,41"
