Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.982.746.860,57","1.997.747.434,42","1.693.617.211,67"
2025-10,"2.027.760.849,24","2.040.811.339,13","1.777.481.733,01"
2025-11,"2.163.696.892,46","2.123.034.943,89","2.079.680.607,41"
2025-12,"2.462.322.870,60","2.267.401.546,25","2.308.552.006,41"
2026-01,"2.191.191.869,39","2.222.899.334,05","2.288.225.696,86"
2026-02,"2.341.772.097,03","2.422.193.396,10","2.285.602.589,83"
2026-03,"2.115.715.508,15","2.177.010.879,25","2.141.796.872,80"
2026-04,"2.188.757.597,65","2.200.890.750,70","2.206.498.812,49"
2026-05,"2.265.037.946,13","2.256.830.809,19","2.270.247.151,06"
2026-06,"2.255.111.162,23","2.314.092.441,77","2.244.415.812,10"
2026-07,"2.178.024.110,17","2.194.508.841,03","1.982.228.088,94"
2026-08,"2.224.945.709,94","2.225.409.399,83","2.019.549.164,38"
