Mês,Real,Previsto,Erro,Erro %
2024-09,"1.193.653.403,00","1.300.185.270,05","-106.531.867,05","-8,92"
2024-10,"1.265.296.493,00","1.302.954.656,84","-37.658.163,84","-2,98"
2024-11,"1.439.140.438,00","1.309.993.610,75","129.146.827,25","8,97"
2024-12,"1.703.523.894,00","1.311.568.168,37","391.955.725,63","23,01"
2025-01,"1.535.628.006,00","1.311.067.833,96","224.560.172,04","14,62"
2025-02,"1.957.625.378,00","1.312.065.792,00","645.559.586,00","32,98"
2025-03,"1.382.580.880,00","1.310.982.444,07","71.598.435,93","5,18"
2025-04,"1.436.144.173,00","1.308.492.897,95","127.651.275,05","8,89"
2025-05,"1.538.185.690,00","1.310.508.273,62","227.677.416,38","14,80"
2025-06,"1.644.304.181,00","1.310.658.867,70","333.645.313,30","20,29"
2025-07,"1.325.167.167,00","1.308.935.821,70","16.231.345,30","1,22"
2025-08,"1.421.830.053,00","1.309.872.423,91","111.957.629,09","7,87"
