Mês,Real,Previsto,Erro,Erro %
2024-09,"436.180.854,90","463.713.530,97","-27.532.676,07","-6,31"
2024-10,"452.754.528,30","501.961.151,52","-49.206.623,22","-10,87"
2024-11,"609.739.461,20","535.220.716,01","74.518.745,19","12,22"
2024-12,"679.708.721,60","535.169.939,83","144.538.781,77","21,26"
2025-01,"535.175.631,40","534.508.224,36","667.407,04","0,12"
2025-02,"806.611.655,10","535.030.947,79","271.580.707,31","33,67"
2025-03,"513.313.480,60","532.118.006,13","-18.804.525,53","-3,66"
2025-04,"509.729.620,70","532.010.765,71","-22.281.145,01","-4,37"
2025-05,"661.364.518,30","532.573.894,75","128.790.623,55","19,47"
2025-06,"721.558.981,80","526.502.642,33","195.056.339,47","27,03"
2025-07,"418.727.243,00","504.184.607,74","-85.457.364,74","-20,41"
2025-08,"573.427.488,60","533.434.987,21","39.992.501,39","6,97"
