Mês,Real,Previsto,Erro,Erro %
2024-09,"1.633.334.082,00","1.365.908.007,01","267.426.074,99","16,37"
2024-10,"1.315.198.705,00","1.314.870.270,04","328.434,96","0,02"
2024-11,"1.437.418.259,00","1.345.694.415,52","91.723.843,48","6,38"
2024-12,"1.389.408.366,00","1.299.759.769,63","89.648.596,37","6,45"
2025-01,"1.459.109.929,00","1.315.390.965,27","143.718.963,73","9,85"
2025-02,"1.401.361.046,00","1.286.961.799,41","114.399.246,59","8,16"
2025-03,"1.371.759.192,00","1.281.781.594,49","89.977.597,51","6,56"
2025-04,"1.300.520.099,00","1.316.327.902,57","-15.807.803,57","-1,22"
2025-05,"1.462.304.662,00","1.374.468.126,11","87.836.535,89","6,01"
2025-06,"1.329.251.134,00","1.325.719.279,79","3.531.854,21","0,27"
2025-07,"1.277.483.341,00","1.364.788.030,21","-87.304.689,21","-6,83"
2025-08,"1.500.930.936,00","1.367.499.230,27","133.431.705,73","8,89"
