Mês,Real,Previsto,Erro,Erro %
2024-09,"1.633.334.082,00","1.235.637.044,32","397.697.037,68","24,35"
2024-10,"1.315.198.705,00","1.209.839.934,41","105.358.770,59","8,01"
2024-11,"1.437.418.259,00","1.215.818.606,95","221.599.652,05","15,42"
2024-12,"1.389.408.366,00","1.226.940.375,08","162.467.990,92","11,69"
2025-01,"1.459.109.929,00","1.228.765.543,40","230.344.385,60","15,79"
2025-02,"1.401.361.046,00","1.227.426.704,01","173.934.341,99","12,41"
2025-03,"1.371.759.192,00","1.237.023.031,96","134.736.160,04","9,82"
2025-04,"1.300.520.099,00","1.237.079.097,57","63.441.001,43","4,88"
2025-05,"1.462.304.662,00","1.237.436.504,04","224.868.157,96","15,38"
2025-06,"1.329.251.134,00","1.236.834.059,51","92.417.074,49","6,95"
2025-07,"1.277.483.341,00","1.236.880.306,53","40.603.034,47","3,18"
2025-08,"1.500.930.936,00","1.236.690.100,84","264.240.835,16","17,61"
