Mês,Real,Previsto,Erro,Erro %
2024-09,"77.922.821,91","99.241.534,56","-21.318.712,65","-27,36"
2024-10,"68.723.998,76","95.818.599,90","-27.094.601,14","-39,43"
2024-11,"46.496.530,23","81.981.605,04","-35.485.074,81","-76,32"
2024-12,"46.562.908,53","73.452.406,66","-26.889.498,13","-57,75"
2025-01,"97.684.007,82","101.922.785,58","-4.238.777,76","-4,34"
2025-02,"83.253.948,66","101.911.033,81","-18.657.085,15","-22,41"
2025-03,"102.853.014,40","101.930.411,37","922.603,03","0,90"
2025-04,"96.206.571,74","101.978.737,86","-5.772.166,12","-6,00"
2025-05,"98.980.682,62","102.002.163,13","-3.021.480,51","-3,05"
2025-06,"104.936.711,00","102.014.759,10","2.921.951,90","2,78"
2025-07,"105.268.898,30","102.005.170,95","3.263.727,35","3,10"
2025-08,"89.793.215,29","101.930.338,69","-12.137.123,40","-13,52"
