Mês,Real,Previsto,Erro,Erro %
2024-09,"3.043.564,11","4.255.827,25","-1.212.263,14","-39,83"
2024-10,"4.571.169,13","1.695.437,38","2.875.731,75","62,91"
2024-11,"3.067.660,81","1.506.117,83","1.561.542,98","50,90"
2024-12,"15.980.010,44","2.628.880,14","13.351.130,30","83,55"
2025-01,"3.018.493,45","6.225.779,38","-3.207.285,93","-106,25"
2025-02,"2.710.152,60","6.571.261,09","-3.861.108,49","-142,47"
2025-03,"13.186.143,15","6.532.048,06","6.654.095,09","50,46"
2025-04,"5.761.357,11","6.188.796,94","-427.439,83","-7,42"
2025-05,"2.236.872,26","4.629.830,94","-2.392.958,68","-106,98"
2025-06,"11.055.684,16","3.848.804,15","7.206.880,01","65,19"
2025-07,"4.496.369,25","4.500.612,84","-4.243,59","-0,09"
2025-08,"3.260.814,86","5.871.392,06","-2.610.577,20","-80,06"
