Mês,Real,Previsto,Erro,Erro %
2024-09,"2.193.216.932,00","3.245.413.728,32","-1.052.196.796,32","-47,98"
2024-10,"2.883.338.384,00","3.248.797.216,63","-365.458.832,63","-12,67"
2024-11,"3.184.170.169,00","3.435.304.782,72","-251.134.613,72","-7,89"
2024-12,"3.697.175.556,00","3.759.598.465,16","-62.422.909,16","-1,69"
2025-01,"3.079.758.225,00","3.292.720.637,61","-212.962.412,61","-6,91"
2025-02,"3.457.936.574,00","3.528.061.535,71","-70.124.961,71","-2,03"
2025-03,"3.083.491.115,00","3.348.007.950,59","-264.516.835,59","-8,58"
2025-04,"2.900.301.672,00","3.447.169.299,16","-546.867.627,16","-18,86"
2025-05,"3.420.170.139,00","3.630.363.172,91","-210.193.033,91","-6,15"
2025-06,"3.232.407.320,00","3.551.988.976,57","-319.581.656,57","-9,89"
2025-07,"2.878.147.589,00","3.578.948.876,42","-700.801.287,42","-24,35"
2025-08,"3.301.513.167,00","3.708.691.691,85","-407.178.524,85","-12,33"
