Mês,Real,Previsto,Erro,Erro %
2024-09,"2.193.216.932,00","2.906.770.914,61","-713.553.982,61","-32,53"
2024-10,"2.883.338.384,00","2.905.565.015,52","-22.226.631,52","-0,77"
2024-11,"3.184.170.169,00","2.909.817.345,26","274.352.823,74","8,62"
2024-12,"3.697.175.556,00","2.919.337.388,88","777.838.167,12","21,04"
2025-01,"3.079.758.225,00","2.914.503.034,48","165.255.190,52","5,37"
2025-02,"3.457.936.574,00","2.925.881.439,28","532.055.134,72","15,39"
2025-03,"3.083.491.115,00","2.927.460.554,75","156.030.560,25","5,06"
2025-04,"2.900.301.672,00","2.934.250.695,65","-33.949.023,65","-1,17"
2025-05,"3.420.170.139,00","2.931.884.943,81","488.285.195,19","14,28"
2025-06,"3.232.407.320,00","2.930.045.594,70","302.361.725,30","9,35"
2025-07,"2.878.147.589,00","2.933.182.309,54","-55.034.720,54","-1,91"
2025-08,"3.301.513.167,00","2.943.378.441,24","358.134.725,76","10,85"
