Mês,Real,Previsto,Erro,Erro %
2024-09,"2.498.191.060,00","2.145.043.168,76","353.147.891,24","14,14"
2024-10,"2.135.919.128,00","2.137.990.034,05","-2.070.906,05","-0,10"
2024-11,"2.306.850.368,00","2.302.338.465,01","4.511.902,99","0,20"
2024-12,"2.754.548.277,00","2.440.321.311,24","314.226.965,76","11,41"
2025-01,"2.316.031.466,00","2.183.463.166,24","132.568.299,76","5,72"
2025-02,"2.531.570.143,00","2.319.629.910,32","211.940.232,68","8,37"
2025-03,"2.290.398.234,00","2.195.824.798,28","94.573.435,72","4,13"
2025-04,"2.161.791.799,00","2.251.496.660,34","-89.704.861,34","-4,15"
2025-05,"2.487.534.478,00","2.419.839.188,17","67.695.289,83","2,72"
2025-06,"2.418.252.928,00","2.278.561.202,52","139.691.725,48","5,78"
2025-07,"2.117.727.738,00","2.278.551.315,59","-160.823.577,59","-7,59"
2025-08,"2.453.676.755,00","2.335.644.027,49","118.032.727,51","4,81"
