Mês,Real,Previsto,Erro,Erro %
2024-09,"2.498.191.060,00","1.995.407.930,77","502.783.129,23","20,13"
2024-10,"2.135.919.128,00","1.995.070.238,71","140.848.889,29","6,59"
2024-11,"2.306.850.368,00","1.995.942.275,50","310.908.092,50","13,48"
2024-12,"2.754.548.277,00","1.998.062.578,51","756.485.698,49","27,46"
2025-01,"2.316.031.466,00","1.996.920.126,81","319.111.339,19","13,78"
2025-02,"2.531.570.143,00","1.997.722.973,58","533.847.169,42","21,09"
2025-03,"2.290.398.234,00","1.996.275.721,91","294.122.512,09","12,84"
2025-04,"2.161.791.799,00","1.997.487.736,87","164.304.062,13","7,60"
2025-05,"2.487.534.478,00","1.997.025.848,03","490.508.629,97","19,72"
2025-06,"2.418.252.928,00","1.996.614.440,39","421.638.487,61","17,44"
2025-07,"2.117.727.738,00","1.996.375.797,82","121.351.940,18","5,73"
2025-08,"2.453.676.755,00","1.996.132.629,68","457.544.125,32","18,65"
