Mês,Real,Previsto,Erro,Erro %
2024-09,"138.205.072,00","120.294.178,75","17.910.893,25","12,96"
2024-10,"120.535.693,00","120.247.028,61","288.664,39","0,24"
2024-11,"136.842.564,60","120.294.736,90","16.547.827,70","12,09"
2024-12,"147.881.473,20","120.336.252,42","27.545.220,78","18,63"
2025-01,"142.692.417,60","120.316.318,59","22.376.099,01","15,68"
2025-02,"112.999.923,30","120.283.422,46","-7.283.499,16","-6,45"
2025-03,"123.750.719,20","120.265.505,94","3.485.213,26","2,82"
2025-04,"132.220.472,50","120.257.686,56","11.962.785,94","9,05"
2025-05,"150.119.301,50","120.172.024,26","29.947.277,24","19,95"
2025-06,"149.506.371,80","120.266.266,08","29.240.105,72","19,56"
2025-07,"149.045.073,60","120.308.812,84","28.736.260,76","19,28"
2025-08,"138.839.570,40","120.295.031,92","18.544.538,48","13,36"
