Mês,Real,Previsto,Erro,Erro %
2024-09,"9.289.979,21","9.365.104,51","-75.125,30","-0,81"
2024-10,"7.343.441,38","6.934.752,23","408.689,15","5,57"
2024-11,"6.020.475,68","7.110.077,32","-1.089.601,64","-18,10"
2024-12,"5.441.626,92","7.659.811,84","-2.218.184,92","-40,76"
2025-01,"9.165.635,79","11.453.197,26","-2.287.561,47","-24,96"
2025-02,"10.055.213,61","13.317.175,98","-3.261.962,37","-32,44"
2025-03,"36.819.354,69","20.214.846,68","16.604.508,01","45,10"
2025-04,"15.059.694,99","17.168.089,27","-2.108.394,28","-14,00"
2025-05,"9.734.265,01","11.127.979,74","-1.393.714,73","-14,32"
2025-06,"10.529.732,67","11.907.546,66","-1.377.813,99","-13,08"
2025-07,"11.761.894,47","13.671.301,15","-1.909.406,68","-16,23"
2025-08,"10.406.593,14","13.706.827,99","-3.300.234,85","-31,71"
