Mês,Real,Previsto,Erro,Erro %
2024-09,"65.528.121,98","48.415.622,48","17.112.499,50","26,11"
2024-10,"39.714.415,70","48.916.730,09","-9.202.314,39","-23,17"
2024-11,"48.897.136,52","59.332.029,93","-10.434.893,41","-21,34"
2024-12,"137.452.657,60","107.966.657,03","29.486.000,57","21,45"
2025-01,"42.838.319,78","39.379.735,16","3.458.584,62","8,07"
2025-02,"58.133.438,77","55.651.836,73","2.481.602,04","4,27"
2025-03,"57.949.305,29","57.898.700,68","50.604,61","0,09"
2025-04,"58.331.286,40","54.949.868,96","3.381.417,44","5,80"
2025-05,"62.406.812,74","54.645.939,05","7.760.873,69","12,44"
2025-06,"64.119.665,81","54.688.603,94","9.431.061,87","14,71"
2025-07,"64.781.317,97","56.357.476,84","8.423.841,13","13,00"
2025-08,"63.797.457,01","57.814.571,86","5.982.885,15","9,38"
