Mês,Real,Previsto,Erro,Erro %
2024-09,"65.528.121,98","49.333.196,28","16.194.925,70","24,71"
2024-10,"39.714.415,70","50.489.457,36","-10.775.041,66","-27,13"
2024-11,"48.897.136,52","50.933.605,30","-2.036.468,78","-4,16"
2024-12,"137.452.657,60","51.054.962,46","86.397.695,14","62,86"
2025-01,"42.838.319,78","48.838.124,73","-5.999.804,95","-14,01"
2025-02,"58.133.438,77","50.726.298,91","7.407.139,86","12,74"
2025-03,"57.949.305,29","50.748.346,47","7.200.958,82","12,43"
2025-04,"58.331.286,40","50.256.313,47","8.074.972,93","13,84"
2025-05,"62.406.812,74","49.954.060,86","12.452.751,88","19,95"
2025-06,"64.119.665,81","50.337.668,64","13.781.997,17","21,49"
2025-07,"64.781.317,97","50.299.901,07","14.481.416,90","22,35"
2025-08,"63.797.457,01","50.101.196,19","13.696.260,82","21,47"
