Mês,Real,Previsto,Erro,Erro %
2024-09,"383.116,88","319.022,01","64.094,87","16,73"
2024-10,"314.377,77","324.343,27","-9.965,50","-3,17"
2024-11,"195.549,44","370.263,37","-174.713,93","-89,35"
2024-12,"206.502,55","358.042,01","-151.539,46","-73,38"
2025-01,"599.172,78","296.891,20","302.281,58","50,45"
2025-02,"82.277,43","327.013,66","-244.736,23","-297,45"
2025-03,"327.084,45","338.078,47","-10.994,02","-3,36"
2025-04,"173.814,03","310.812,44","-136.998,41","-78,82"
2025-05,"255.179,99","313.331,78","-58.151,79","-22,79"
2025-06,"146.435,27","409.766,08","-263.330,81","-179,83"
2025-07,"295.249,64","328.798,34","-33.548,70","-11,36"
2025-08,"250.418,14","362.870,11","-112.451,97","-44,91"
