Mês,Real,Previsto,Erro,Erro %
2024-09,"839.141.069,70","986.914.970,73","-147.773.901,03","-17,61"
2024-10,"794.319.820,90","1.009.984.051,61","-215.664.230,71","-27,15"
2024-11,"1.145.724.099,00","1.126.591.123,71","19.132.975,29","1,67"
2024-12,"1.444.669.724,00","1.366.903.888,39","77.765.835,61","5,38"
2025-01,"924.911.735,90","1.127.679.269,23","-202.767.533,33","-21,92"
2025-02,"1.113.782.105,00","1.160.393.925,64","-46.611.820,64","-4,19"
2025-03,"886.059.680,80","1.084.458.035,33","-198.398.354,53","-22,39"
2025-04,"883.513.419,90","1.114.204.856,53","-230.691.436,63","-26,11"
2025-05,"1.032.735.600,00","1.156.480.575,49","-123.744.975,49","-11,98"
2025-06,"1.105.907.805,00","1.134.647.492,31","-28.739.687,31","-2,60"
2025-07,"782.121.782,90","1.077.605.725,36","-295.483.942,46","-37,78"
2025-08,"915.700.767,90","1.138.149.971,32","-222.449.203,42","-24,29"
