Mês,Real,Previsto,Erro,Erro %
2024-09,"839.141.069,70","1.118.181.140,45","-279.040.070,75","-33,25"
2024-10,"794.319.820,90","1.146.853.813,64","-352.533.992,74","-44,38"
2024-11,"1.145.724.099,00","1.164.783.029,79","-19.058.930,79","-1,66"
2024-12,"1.444.669.724,00","1.167.266.062,33","277.403.661,67","19,20"
2025-01,"924.911.735,90","1.141.715.940,06","-216.804.204,16","-23,44"
2025-02,"1.113.782.105,00","1.159.418.353,85","-45.636.248,85","-4,10"
2025-03,"886.059.680,80","1.145.311.239,71","-259.251.558,91","-29,26"
2025-04,"883.513.419,90","1.152.176.354,68","-268.662.934,78","-30,41"
2025-05,"1.032.735.600,00","1.162.054.701,04","-129.319.101,04","-12,52"
2025-06,"1.105.907.805,00","1.171.025.675,40","-65.117.870,40","-5,89"
2025-07,"782.121.782,90","1.169.554.205,23","-387.432.422,33","-49,54"
2025-08,"915.700.767,90","1.171.074.673,24","-255.373.905,34","-27,89"
