Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"724.798.564,97","707.478.739,46","651.191.544,47"
2025-10,"743.358.420,54","718.534.874,34","616.292.251,12"
2025-11,"852.655.631,13","805.794.442,06","736.119.243,36"
2025-12,"1.055.110.273,86","944.167.660,66","875.571.693,16"
2026-01,"818.435.297,64","771.580.388,66","804.033.095,19"
2026-02,"904.603.776,40","910.385.210,80","900.345.814,67"
2026-03,"778.241.357,07","754.675.629,69","806.382.344,03"
2026-04,"810.391.519,53","770.899.288,08","800.811.797,25"
2026-05,"856.827.409,05","826.704.561,77","878.782.800,83"
2026-06,"862.914.679,53","875.750.619,52","901.406.513,97"
2026-07,"790.705.166,19","747.439.534,07","761.561.369,96"
2026-08,"824.888.086,10","792.523.483,17","872.238.909,26"
