Mês,Real,Previsto,Erro,Erro %
2024-09,"1.129.169.746,00","1.216.150.069,45","-86.980.323,45","-7,70"
2024-10,"1.207.152.792,00","1.310.590.512,37","-103.437.720,37","-8,57"
2024-11,"1.536.796.365,00","1.574.436.619,74","-37.640.254,74","-2,45"
2024-12,"1.726.316.838,00","1.675.155.762,13","51.161.075,87","2,96"
2025-01,"1.580.561.777,00","1.657.094.760,38","-76.532.983,38","-4,84"
2025-02,"2.094.710.836,00","2.055.101.029,08","39.609.806,92","1,89"
2025-03,"1.384.762.056,00","1.384.304.702,93","457.353,07","0,03"
2025-04,"1.410.676.927,00","1.484.497.122,82","-73.820.195,82","-5,23"
2025-05,"1.796.219.039,00","1.659.759.373,07","136.459.665,93","7,60"
2025-06,"1.832.442.417,00","1.620.890.538,98","211.551.878,02","11,54"
2025-07,"1.132.047.763,00","1.241.554.086,81","-109.506.323,81","-9,67"
2025-08,"1.487.348.268,00","1.476.409.381,66","10.938.886,34","0,74"
