Mês,Real,Previsto,Erro,Erro %
2024-09,"1.129.169.746,00","1.127.031.770,65","2.137.975,35","0,19"
2024-10,"1.207.152.792,00","1.152.478.538,40","54.674.253,60","4,53"
2024-11,"1.536.796.365,00","1.339.324.016,96","197.472.348,04","12,85"
2024-12,"1.726.316.838,00","1.536.203.509,40","190.113.328,60","11,01"
2025-01,"1.580.561.777,00","1.584.296.400,82","-3.734.623,82","-0,24"
2025-02,"2.094.710.836,00","1.607.788.147,68","486.922.688,32","23,25"
2025-03,"1.384.762.056,00","1.404.397.587,16","-19.635.531,16","-1,42"
2025-04,"1.410.676.927,00","1.494.689.462,74","-84.012.535,74","-5,96"
2025-05,"1.796.219.039,00","1.593.307.827,41","202.911.211,59","11,30"
2025-06,"1.832.442.417,00","1.586.551.511,31","245.890.905,69","13,42"
2025-07,"1.132.047.763,00","1.227.034.423,96","-94.986.660,96","-8,39"
2025-08,"1.487.348.268,00","1.463.731.929,41","23.616.338,59","1,59"
