Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"3.422.639.538,39","3.439.964.136,43","3.548.382.694,57"
2025-10,"3.493.219.968,43","3.509.200.392,67","3.567.237.749,21"
2025-11,"3.531.076.845,22","3.517.959.293,21","3.573.620.484,54"
2025-12,"3.691.211.753,76","3.578.396.592,46","3.573.952.421,19"
2026-01,"3.594.693.493,37","3.580.270.217,42","3.573.087.353,95"
2026-02,"3.395.459.222,25","3.422.594.671,23","3.571.446.581,31"
2026-03,"3.344.368.241,06","3.426.354.998,64","3.571.843.184,79"
2026-04,"3.543.915.802,91","3.524.295.158,75","3.569.120.355,04"
2026-05,"3.407.553.626,08","3.446.811.584,54","3.567.565.310,46"
2026-06,"3.429.867.274,92","3.518.855.467,83","3.564.781.596,00"
2026-07,"3.504.452.243,82","3.530.065.451,75","3.565.084.907,19"
2026-08,"3.525.389.699,21","3.593.537.723,05","3.559.948.788,26"
