Mês,Real,Previsto,Erro,Erro %
2024-09,"3.336.434.650,00","2.989.670.847,74","346.763.802,26","10,39"
2024-10,"3.617.273.881,00","2.989.369.648,50","627.904.232,50","17,36"
2024-11,"3.685.126.600,00","2.989.256.281,76","695.870.318,24","18,88"
2024-12,"3.611.656.015,00","2.989.628.673,55","622.027.341,45","17,22"
2025-01,"3.814.902.460,00","2.989.357.373,92","825.545.086,08","21,64"
2025-02,"3.290.857.042,00","2.987.570.950,85","303.286.091,15","9,22"
2025-03,"3.174.325.738,00","2.988.638.020,76","185.687.717,24","5,85"
2025-04,"3.381.230.441,00","2.989.375.502,53","391.854.938,47","11,59"
2025-05,"3.309.892.183,00","2.988.725.138,78","321.167.044,22","9,70"
2025-06,"3.385.534.518,00","2.989.279.634,93","396.254.883,07","11,70"
2025-07,"3.322.620.055,00","2.989.249.483,54","333.370.571,46","10,03"
2025-08,"3.490.099.339,00","2.989.279.320,20","500.820.018,80","14,35"
