Mês,Real,Previsto,Erro,Erro %
2024-09,"203.790.948,90","195.153.898,37","8.637.050,53","4,24"
2024-10,"203.074.913,80","201.551.956,44","1.522.957,36","0,75"
2024-11,"184.792.925,80","184.427.050,14","365.875,66","0,20"
2024-12,"141.630.152,00","136.527.427,04","5.102.724,96","3,60"
2025-01,"336.286.900,40","328.964.692,34","7.322.208,06","2,18"
2025-02,"484.948.999,20","450.566.143,14","34.382.856,06","7,09"
2025-03,"146.691.949,60","147.232.259,84","-540.310,24","-0,37"
2025-04,"153.111.060,70","162.867.687,94","-9.756.627,24","-6,37"
2025-05,"166.031.194,70","167.374.191,44","-1.342.996,74","-0,81"
2025-06,"168.737.826,30","169.116.982,94","-379.156,64","-0,22"
2025-07,"244.985.149,60","241.334.875,24","3.650.274,36","1,49"
2025-08,"225.728.599,70","223.137.720,14","2.590.879,56","1,15"
