Mês,Real,Previsto,Erro,Erro %
2024-09,"203.790.948,90","219.152.081,82","-15.361.132,92","-7,54"
2024-10,"203.074.913,80","201.514.550,66","1.560.363,14","0,77"
2024-11,"184.792.925,80","184.576.183,61","216.742,19","0,12"
2024-12,"141.630.152,00","181.924.123,54","-40.293.971,54","-28,45"
2025-01,"336.286.900,40","436.298.279,91","-100.011.379,51","-29,74"
2025-02,"484.948.999,20","501.060.093,75","-16.111.094,55","-3,32"
2025-03,"146.691.949,60","184.556.049,93","-37.864.100,33","-25,81"
2025-04,"153.111.060,70","175.044.879,68","-21.933.818,98","-14,33"
2025-05,"166.031.194,70","170.856.038,70","-4.824.844,00","-2,91"
2025-06,"168.737.826,30","179.640.350,94","-10.902.524,64","-6,46"
2025-07,"244.985.149,60","215.671.728,23","29.313.421,37","11,97"
2025-08,"225.728.599,70","239.297.567,88","-13.568.968,18","-6,01"
