Mês,Real,Previsto,Erro,Erro %
2024-09,"325.552.464,90","324.277.663,54","1.274.801,36","0,39"
2024-10,"339.108.861,90","315.808.221,93","23.300.639,97","6,87"
2024-11,"338.164.874,90","302.578.480,80","35.586.394,10","10,52"
2024-12,"662.934.080,80","522.621.271,87","140.312.808,93","21,17"
2025-01,"311.221.040,60","302.269.880,29","8.951.160,31","2,88"
2025-02,"332.225.362,30","309.685.604,20","22.539.758,10","6,78"
2025-03,"333.021.002,60","321.770.813,78","11.250.188,82","3,38"
2025-04,"342.522.504,10","319.728.208,89","22.794.295,21","6,65"
2025-05,"399.523.886,80","345.851.101,84","53.672.784,96","13,43"
2025-06,"368.739.137,00","329.239.947,03","39.499.189,97","10,71"
2025-07,"359.133.867,10","325.823.496,81","33.310.370,29","9,28"
2025-08,"359.422.419,60","339.511.739,43","19.910.680,17","5,54"
