Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"395.075.360,13","371.870.775,05","335.668.670,50"
2025-10,"391.226.153,45","372.291.193,01","358.758.138,01"
2025-11,"377.914.670,54","363.584.076,96","494.637.522,90"
2025-12,"645.379.941,67","603.888.441,33","632.618.913,82"
2026-01,"364.175.802,60","355.157.929,03","346.387.555,68"
2026-02,"375.782.554,97","366.451.476,03","350.193.684,34"
2026-03,"394.821.424,66","373.382.620,36","337.614.454,44"
2026-04,"393.883.654,25","375.284.934,17","342.419.689,04"
2026-05,"431.555.698,43","409.022.079,51","377.871.149,03"
2026-06,"409.482.719,68","389.445.406,50","389.532.835,79"
2026-07,"406.605.465,14","384.327.481,07","378.761.609,10"
2026-08,"429.485.266,73","393.729.438,64","361.251.499,29"
