Mês,Real,Previsto,Erro,Erro %
2024-09,"20.619.351,43","26.721.002,93","-6.101.651,50","-29,59"
2024-10,"23.565.223,59","26.582.787,49","-3.017.563,90","-12,81"
2024-11,"38.300.857,73","25.590.774,20","12.710.083,53","33,18"
2024-12,"32.605.486,01","31.197.745,16","1.407.740,85","4,32"
2025-01,"29.698.208,49","23.838.917,61","5.859.290,88","19,73"
2025-02,"30.633.989,88","24.426.998,85","6.206.991,03","20,26"
2025-03,"27.415.858,61","25.316.661,98","2.099.196,63","7,66"
2025-04,"27.608.634,79","26.258.028,42","1.350.606,37","4,89"
2025-05,"34.370.611,44","26.447.655,69","7.922.955,75","23,05"
2025-06,"33.490.952,33","24.597.467,90","8.893.484,43","26,55"
2025-07,"26.315.427,28","27.693.412,09","-1.377.984,81","-5,24"
2025-08,"23.323.683,42","27.581.867,75","-4.258.184,33","-18,26"
