Mês,Real,Previsto,Erro,Erro %
2024-09,"20.619.351,43","25.889.049,75","-5.269.698,32","-25,56"
2024-10,"23.565.223,59","25.727.782,21","-2.162.558,62","-9,18"
2024-11,"38.300.857,73","26.649.466,30","11.651.391,43","30,42"
2024-12,"32.605.486,01","30.684.747,67","1.920.738,34","5,89"
2025-01,"29.698.208,49","23.802.566,35","5.895.642,14","19,85"
2025-02,"30.633.989,88","22.715.861,56","7.918.128,32","25,85"
2025-03,"27.415.858,61","26.535.792,81","880.065,80","3,21"
2025-04,"27.608.634,79","26.185.826,49","1.422.808,30","5,15"
2025-05,"34.370.611,44","26.064.911,46","8.305.699,98","24,17"
2025-06,"33.490.952,33","25.482.959,87","8.007.992,46","23,91"
2025-07,"26.315.427,28","26.501.410,77","-185.983,49","-0,71"
2025-08,"23.323.683,42","29.332.696,97","-6.009.013,55","-25,76"
