Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"26.917.848,70","26.917.848,70","26.917.848,70"
2025-10,"27.116.055,94","27.116.055,94","27.116.055,94"
2025-11,"27.277.211,47","27.277.211,47","27.277.211,47"
2025-12,"27.143.148,93","27.143.148,93","27.143.148,93"
2026-01,"27.045.726,70","27.045.726,70","27.045.726,70"
2026-02,"26.978.180,16","26.978.180,16","26.978.180,16"
2026-03,"26.900.433,48","26.900.433,48","26.900.433,48"
2026-04,"26.933.446,05","26.933.446,05","26.933.446,05"
2026-05,"26.984.048,26","26.984.048,26","26.984.048,26"
2026-06,"26.862.267,36","26.862.267,36","26.862.267,36"
2026-07,"26.704.456,40","26.704.456,40","26.704.456,40"
2026-08,"26.686.412,75","26.686.412,75","26.686.412,75"
