Mês,Real,Previsto,Erro,Erro %
2024-09,"20.619.351,43","24.573.731,55","-3.954.380,12","-19,18"
2024-10,"23.565.223,59","24.577.255,43","-1.012.031,84","-4,29"
2024-11,"38.300.857,73","24.518.657,93","13.782.199,80","35,98"
2024-12,"32.605.486,01","24.563.945,48","8.041.540,53","24,66"
2025-01,"29.698.208,49","24.483.247,88","5.214.960,61","17,56"
2025-02,"30.633.989,88","24.551.264,86","6.082.725,02","19,86"
2025-03,"27.415.858,61","24.534.992,02","2.880.866,59","10,51"
2025-04,"27.608.634,79","24.631.892,33","2.976.742,46","10,78"
2025-05,"34.370.611,44","24.609.563,22","9.761.048,22","28,40"
2025-06,"33.490.952,33","24.580.846,76","8.910.105,57","26,60"
2025-07,"26.315.427,28","24.678.261,89","1.637.165,39","6,22"
2025-08,"23.323.683,42","24.607.356,58","-1.283.673,16","-5,50"
