Mês,Real,Previsto,Erro,Erro %
2024-09,"6.684.048.411,00","7.600.810.487,13","-916.762.076,13","-13,72"
2024-10,"7.039.094.415,00","7.274.384.335,30","-235.289.920,30","-3,34"
2024-11,"7.519.195.233,00","7.421.843.722,45","97.351.510,55","1,29"
2024-12,"8.596.059.838,00","7.989.327.631,08","606.732.206,92","7,06"
2025-01,"8.454.864.998,00","7.490.135.678,84","964.729.319,16","11,41"
2025-02,"8.080.380.186,00","7.540.958.000,66","539.422.185,34","6,68"
2025-03,"6.774.644.833,00","7.260.204.829,89","-485.559.996,89","-7,17"
2025-04,"7.096.760.819,00","7.788.979.747,77","-692.218.928,77","-9,75"
2025-05,"7.766.594.919,00","7.516.637.928,68","249.956.990,32","3,22"
2025-06,"7.764.633.726,00","7.679.060.955,89","85.572.770,11","1,10"
2025-07,"7.137.746.050,00","7.716.070.315,70","-578.324.265,70","-8,10"
2025-08,"7.579.282.545,00","7.767.206.280,38","-187.923.735,38","-2,48"
