Mês,Real,Previsto,Erro,Erro %
2024-09,"4.740.467.372,00","5.370.552.338,88","-630.084.966,88","-13,29"
2024-10,"4.969.469.740,00","5.385.596.909,90","-416.127.169,90","-8,37"
2024-11,"5.373.858.308,00","5.398.821.676,07","-24.963.368,07","-0,46"
2024-12,"6.233.991.921,00","5.402.736.020,93","831.255.900,07","13,33"
2025-01,"6.151.906.620,00","5.403.665.615,33","748.241.004,67","12,16"
2025-02,"5.787.001.244,00","5.405.361.172,66","381.640.071,34","6,59"
2025-03,"4.862.606.565,00","5.403.939.159,91","-541.332.594,91","-11,13"
2025-04,"5.084.983.004,00","5.413.749.809,68","-328.766.805,68","-6,47"
2025-05,"5.682.667.470,00","5.404.277.423,70","278.390.046,30","4,90"
2025-06,"5.645.766.724,00","5.407.670.586,13","238.096.137,87","4,22"
2025-07,"5.152.174.092,00","5.411.489.304,68","-259.315.212,68","-5,03"
2025-08,"5.471.775.869,00","5.409.621.877,16","62.153.991,84","1,14"
