Mês,Real,Previsto,Erro,Erro %
2024-09,"868.000.020,80","936.490.125,19","-68.490.104,39","-7,89"
2024-10,"929.786.441,50","1.010.726.854,76","-80.940.413,26","-8,71"
2024-11,"1.179.158.692,00","1.206.575.109,29","-27.416.417,29","-2,33"
2024-12,"1.325.284.292,00","1.286.315.098,56","38.969.193,44","2,94"
2025-01,"1.226.993.623,00","1.282.438.249,43","-55.444.626,43","-4,52"
2025-02,"1.615.524.190,00","1.568.474.816,22","47.049.373,78","2,91"
2025-03,"1.070.153.255,00","1.068.146.793,73","2.006.461,27","0,19"
2025-04,"1.091.617.324,00","1.143.012.188,95","-51.394.864,95","-4,71"
2025-05,"1.388.616.956,00","1.278.399.346,58","110.217.609,42","7,94"
2025-06,"1.411.516.016,00","1.238.828.180,13","172.687.835,87","12,23"
2025-07,"874.952.929,10","960.711.548,41","-85.758.619,31","-9,80"
2025-08,"1.147.026.527,00","1.135.946.545,06","11.079.981,94","0,97"
