Mês,Real,Previsto,Erro,Erro %
2024-09,"868.000.020,80","828.390.635,05","39.609.385,75","4,56"
2024-10,"929.786.441,50","951.883.486,70","-22.097.045,20","-2,38"
2024-11,"1.179.158.692,00","1.190.173.762,11","-11.015.070,11","-0,93"
2024-12,"1.325.284.292,00","1.236.093.711,31","89.190.580,69","6,73"
2025-01,"1.226.993.623,00","1.249.242.624,63","-22.249.001,63","-1,81"
2025-02,"1.615.524.190,00","1.256.396.126,29","359.128.063,71","22,23"
2025-03,"1.070.153.255,00","1.209.297.929,24","-139.144.674,24","-13,00"
2025-04,"1.091.617.324,00","1.230.153.416,58","-138.536.092,58","-12,69"
2025-05,"1.388.616.956,00","1.240.479.736,64","148.137.219,36","10,67"
2025-06,"1.411.516.016,00","1.231.999.763,46","179.516.252,54","12,72"
2025-07,"874.952.929,10","1.129.035.195,21","-254.082.266,11","-29,04"
2025-08,"1.147.026.527,00","1.191.734.762,54","-44.708.235,54","-3,90"
