Mês,Real,Previsto,Erro,Erro %
2024-09,"1.661.440.353,00","1.559.647.144,95","101.793.208,05","6,13"
2024-10,"1.829.467.246,00","1.558.289.985,82","271.177.260,18","14,82"
2024-11,"1.954.182.888,00","1.557.881.164,30","396.301.723,70","20,28"
2024-12,"1.896.548.578,00","1.558.295.530,23","338.253.047,77","17,84"
2025-01,"1.833.908.672,00","1.558.290.160,17","275.618.511,83","15,03"
2025-02,"1.515.051.745,00","1.557.677.729,91","-42.625.984,91","-2,81"
2025-03,"1.591.261.952,00","1.557.548.151,20","33.713.800,80","2,12"
2025-04,"1.635.795.236,00","1.557.303.325,56","78.491.910,44","4,80"
2025-05,"1.691.384.735,00","1.557.250.217,81","134.134.517,19","7,93"
2025-06,"1.796.337.780,00","1.557.869.866,26","238.467.913,74","13,28"
2025-07,"1.850.529.356,00","1.558.641.410,53","291.887.945,47","15,77"
2025-08,"1.861.893.205,00","1.558.546.702,30","303.346.502,70","16,29"
