Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"3.614.853,61","3.614.853,61","3.614.853,61"
2025-10,"546.259,82","546.259,82","546.259,82"
2025-11,"-752.682,83","-752.682,83","-752.682,83"
2025-12,"30.059.484,85","30.059.484,85","30.059.484,85"
2026-01,"517.627.311,66","517.627.311,66","517.627.311,66"
2026-02,"356.199.710,76","356.199.710,76","356.199.710,76"
2026-03,"305.393.708,45","305.393.708,45","305.393.708,45"
2026-04,"297.208.237,66","297.208.237,66","297.208.237,66"
2026-05,"306.290.938,30","306.290.938,30","306.290.938,30"
2026-06,"288.912.766,79","288.912.766,79","288.912.766,79"
2026-07,"157.090.500,44","157.090.500,44","157.090.500,44"
2026-08,"38.726.482,66","38.726.482,66","38.726.482,66"
