Mês,Real,Previsto,Erro,Erro %
2024-09,"47.681.063,22","-69.909,28","47.750.972,50","100,15"
2024-10,"44.684.633,71","2.285.730,57","42.398.903,14","94,88"
2024-11,"35.636.366,41","7.402.434,56","28.233.931,85","79,23"
2024-12,"39.551.104,43","19.920.375,76","19.630.728,67","49,63"
2025-01,"511.818.489,70","467.422.006,00","44.396.483,70","8,67"
2025-02,"288.661.957,10","309.199.042,74","-20.537.085,64","-7,11"
2025-03,"265.562.491,60","266.637.958,14","-1.075.466,54","-0,40"
2025-04,"261.274.088,20","241.108.992,14","20.165.096,06","7,72"
2025-05,"250.299.653,10","223.028.998,04","27.270.655,06","10,90"
2025-06,"230.158.446,70","179.368.128,66","50.790.318,04","22,07"
2025-07,"85.723.796,22","98.238.690,76","-12.514.894,54","-14,60"
2025-08,"58.565.685,54","8.583.736,96","49.981.948,58","85,34"
