Mês,Real,Previsto,Erro,Erro %
2024-09,"207.125.105,40","197.476.538,88","9.648.566,52","4,66"
2024-10,"203.592.029,50","197.725.035,51","5.866.993,99","2,88"
2024-11,"204.726.869,50","198.236.656,10","6.490.213,40","3,17"
2024-12,"465.242.753,70","198.574.079,66","266.668.674,04","57,32"
2025-01,"127.734.928,60","194.510.255,73","-66.775.327,13","-52,28"
2025-02,"191.385.545,00","196.230.470,84","-4.844.925,84","-2,53"
2025-03,"204.406.173,00","196.450.291,32","7.955.881,68","3,89"
2025-04,"241.491.740,90","196.532.075,44","44.959.665,46","18,62"
2025-05,"223.896.661,80","196.569.833,72","27.326.828,08","12,21"
2025-06,"222.733.664,70","196.743.398,29","25.990.266,41","11,67"
2025-07,"229.195.449,00","196.877.376,17","32.318.072,83","14,10"
2025-08,"224.491.869,10","196.885.040,53","27.606.828,57","12,30"
