Mês,Real,Previsto,Erro,Erro %
2024-09,"3.639.123.908,00","4.004.826.476,70","-365.702.568,70","-10,05"
2024-10,"3.874.211.442,00","4.008.664.401,92","-134.452.959,92","-3,47"
2024-11,"4.237.312.063,00","4.013.284.721,18","224.027.341,82","5,29"
2024-12,"5.181.823.531,00","4.015.769.721,06","1.166.053.809,94","22,50"
2025-01,"4.683.665.512,00","4.010.527.830,82","673.137.681,18","14,37"
2025-02,"4.507.797.380,00","4.011.391.438,90","496.405.941,10","11,01"
2025-03,"4.096.900.415,00","4.011.093.440,08","85.806.974,92","2,09"
2025-04,"4.190.450.241,00","4.005.186.857,32","185.263.383,68","4,42"
2025-05,"4.609.336.863,00","4.006.842.810,56","602.494.052,44","13,07"
2025-06,"4.651.594.652,00","4.006.216.959,53","645.377.692,47","13,87"
2025-07,"4.111.367.525,00","4.004.953.594,33","106.413.930,67","2,59"
2025-08,"4.807.482.283,00","4.005.972.889,40","801.509.393,60","16,67"
