Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"102.548.076,77","105.058.903,04","104.240.276,17"
2025-10,"108.227.433,78","104.891.543,29","107.262.701,22"
2025-11,"128.228.665,00","126.041.088,89","118.877.455,95"
2025-12,"134.164.137,01","128.254.243,64","122.125.438,96"
2026-01,"130.466.186,24","126.163.772,78","120.543.708,11"
2026-02,"156.443.957,83","153.126.942,12","127.151.481,14"
2026-03,"117.502.505,86","114.994.701,26","114.376.268,20"
2026-04,"121.367.212,67","117.044.355,49","116.864.999,99"
2026-05,"139.015.873,58","135.508.103,88","125.475.781,78"
2026-06,"145.111.916,06","141.234.452,16","124.139.727,02"
2026-07,"95.026.885,33","93.827.214,57","108.418.846,64"
2026-08,"129.479.063,47","124.618.167,80","119.466.049,24"
