Mês,Real,Previsto,Erro,Erro %
2024-09,"23.460.855,34","23.649.808,72","-188.953,38","-0,81"
2024-10,"33.263.791,25","23.653.212,14","9.610.579,11","28,89"
2024-11,"23.037.094,05","23.669.327,96","-632.233,91","-2,74"
2024-12,"30.011.183,68","23.659.953,41","6.351.230,27","21,16"
2025-01,"21.218.048,04","23.653.735,47","-2.435.687,43","-11,48"
2025-02,"24.576.722,44","23.635.182,49","941.539,95","3,83"
2025-03,"24.976.372,46","23.632.626,72","1.343.745,74","5,38"
2025-04,"25.517.203,04","23.631.378,99","1.885.824,05","7,39"
2025-05,"25.160.087,41","23.619.857,50","1.540.229,91","6,12"
2025-06,"27.215.333,22","23.625.450,70","3.589.882,52","13,19"
2025-07,"28.251.663,10","23.640.831,34","4.610.831,76","16,32"
2025-08,"27.880.702,01","23.642.916,22","4.237.785,79","15,20"
