Mês,Real,Previsto,Erro,Erro %
2024-09,"3.222.083.916,00","3.591.473.343,84","-369.389.427,84","-11,46"
2024-10,"3.428.996.854,00","3.586.343.998,12","-157.347.144,12","-4,59"
2024-11,"3.428.617.711,00","3.757.654.553,28","-329.036.842,28","-9,60"
2024-12,"4.507.306.306,00","4.396.998.499,96","110.307.806,04","2,45"
2025-01,"3.358.849.572,00","3.571.200.658,44","-212.351.086,44","-6,32"
2025-02,"3.750.036.324,00","3.851.088.933,05","-101.052.609,05","-2,69"
2025-03,"3.551.224.876,00","3.591.399.356,24","-40.174.480,24","-1,13"
2025-04,"3.424.586.661,00","3.600.010.891,91","-175.424.230,91","-5,12"
2025-05,"4.400.834.227,00","4.150.564.691,96","250.269.535,04","5,69"
2025-06,"3.755.697.808,00","3.860.859.195,98","-105.161.387,98","-2,80"
2025-07,"3.922.665.149,00","3.783.650.065,49","139.015.083,51","3,54"
2025-08,"3.770.921.547,00","3.779.751.754,65","-8.830.207,65","-0,23"
