Mês,Real,Previsto,Erro,Erro %
2024-09,"3.222.083.916,00","3.652.106.563,95","-430.022.647,95","-13,35"
2024-10,"3.428.996.854,00","3.660.799.838,62","-231.802.984,62","-6,76"
2024-11,"3.428.617.711,00","3.670.064.067,83","-241.446.356,83","-7,04"
2024-12,"4.507.306.306,00","3.670.889.649,65","836.416.656,35","18,56"
2025-01,"3.358.849.572,00","3.656.294.482,01","-297.444.910,01","-8,86"
2025-02,"3.750.036.324,00","3.659.265.117,42","90.771.206,58","2,42"
2025-03,"3.551.224.876,00","3.659.147.467,06","-107.922.591,06","-3,04"
2025-04,"3.424.586.661,00","3.664.236.340,48","-239.649.679,48","-7,00"
2025-05,"4.400.834.227,00","3.668.998.353,64","731.835.873,36","16,63"
2025-06,"3.755.697.808,00","3.665.203.827,48","90.493.980,52","2,41"
2025-07,"3.922.665.149,00","3.665.032.690,90","257.632.458,10","6,57"
2025-08,"3.770.921.547,00","3.666.568.523,37","104.353.023,63","2,77"
